ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2723258,A,Cistaceae,,Cistus,×,"aguilari",,"","O.E.Warb.",Accepted,,M,WCSP (in review),845344,168160-1,"J. Roy. Hort. Soc.","56: 222","","1931"
kew-2603959,A,Cistaceae,,Cistus,×,"akamantis",,"","Demoly",Accepted,,M,WCSP (in review),728628,77077304-1,"Biocosme Mésogéen","23: 8","","2006"
kew-2723263,A,Cistaceae,,Cistus,×,"albereensis",,"","Gaut. ex Rouy & Fouc.",Accepted,,M,WCSP (in review),845349,168162-1,"Fl. France","2: 268","","1895"
kew-2723264,A,Cistaceae,,Cistus,,"albidus",,"","L.",Accepted,,M,WCSP (in review),845350,168163-1,"Sp. Pl.","524","","1753"
kew-2723281,A,Cistaceae,,Cistus,,"asper",,"","Demoly & R.Mesa",Accepted,,M,WCSP (in review),845367,77072800-1,"Biocosme Mesogeen","22: 117","","2005"
kew-2606700,A,Cistaceae,,Cistus,×,"banaresii",,"","Demoly",Accepted,,M,WCSP (in review),731205,77090028-1,"J. Bot. Soc. Bot. France","36: 30","","2006 publ. 2007"
kew-2723308,A,Cistaceae,,Cistus,×,"cebennensis",,"","Aubin & J.Prudhomme",Accepted,,M,WCSP (in review),845394,929506-1,"Bull. Mens. Soc. Linn. Lyon","55: 136","","1986"
kew-2723312,A,Cistaceae,,Cistus,,"chinamadensis",,"","Bañares & P.Romero",Accepted,,M,WCSP (in review),845398,958695-1,"Stud. Bot. Univ. Salamanca","9: 119","","1990 publ. 1991"
kew-2723323,A,Cistaceae,,Cistus,×,"clausonii",,"","Font Quer & Maire",Accepted,,M,WCSP (in review),845409,168213-1,"Cavanillesia","3: 59","","1930"
kew-2723324,A,Cistaceae,,Cistus,,"clusii",,"","Dunal",Accepted,,M,WCSP (in review),845410,168214-1,"Prodr.","1: 266","","1824"
kew-2723332,A,Cistaceae,,Cistus,×,"conradiae",,"","Demoly",Accepted,,M,WCSP (in review),845418,990770-1,"Biocosme Mésogéen","13: 19","","1996"
