ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2769320,A,Ebenaceae,,Diospyros,,"abyssinica",,"","(Hiern) F.White",Accepted,,H,WCSP,383604,322036-1,"Bull. Jard. Bot. État","26: 241","","1956"
kew-2769324,A,Ebenaceae,,Diospyros,,"acapulcensis",,"","Kunth",Accepted,,H,WCSP,383608,322037-1,"Nov. Gen. Sp.","3: 254","","1819"
tro-50334406,A,Ebenaceae,,Diospyros,,"acapulcensis",subsp.,"nicaraguensis","(Standl.) M.C. Provance, I. García & A.C. Sanders",Accepted,,L,TRO,50334406,77099742-1,"J. Bot. Res. Inst. Texas","2(2): 1033-1036, f. 10-11, 18a-e","1033","2008"
tro-50334409,A,Ebenaceae,,Diospyros,,"acapulcensis",subsp.,"veraecrucis","(Standl.) M.C. Provance, I. García & A.C. Sanders",Accepted,,L,TRO,50334409,77099745-1,"J. Bot. Res. Inst. Texas","2(2): 1044-1045, 1047-1048, 1051-1052, f. 16, 18f-k, 19d","1044","2008"
kew-2769325,A,Ebenaceae,,Diospyros,,"acocksii",,"","(De Winter) De Winter",Accepted,,H,WCSP,383609,322038-1,"Bothalia","7: 457","","1961"
kew-2769326,A,Ebenaceae,,Diospyros,,"acreana",,"","Cavalcante",Accepted,,H,WCSP,383610,81165-2,"Bol. Mus. Paraense Emilio Goeldi, N. S., Bot.","22: 1","","1966"
kew-2769327,A,Ebenaceae,,Diospyros,,"acris",,"","Hemsl.",Accepted,,H,WCSP,383611,322040-1,"Bull. Misc. Inform. Kew","1895: 136","","1895"
kew-2769328,A,Ebenaceae,,Diospyros,,"aculeata",,"","H.Perrier",Accepted,,H,WCSP,383612,322041-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 119","","1952"
kew-2769330,A,Ebenaceae,,Diospyros,,"acuminata",,"","(Thwaites) Kosterm.",Accepted,,H,WCSP,383614,322043-1,"Ceylon J. Sci., Biol. Sci.","12: 92","","1977"
kew-2769332,A,Ebenaceae,,Diospyros,,"acuta",,"","Thwaites",Accepted,,H,WCSP,383616,322045-1,"Enum. Pl. Zeyl.","182","","1860"
kew-2769333,A,Ebenaceae,,Diospyros,,"addita",,"","Fletcher",Accepted,,H,WCSP,383617,322046-1,"Bull. Misc. Inform. Kew","1937: 386","","1937"
kew-2769334,A,Ebenaceae,,Diospyros,,"adenophora",,"","Bakh.",Accepted,,H,WCSP,383618,322047-1,"Gard. Bull. Straits Settlem.","7: 164","","1933"
kew-2769335,A,Ebenaceae,,Diospyros,,"adiensis",,"","Kosterm.",Accepted,,H,WCSP,383619,322048-1,"Blumea","23: 449","","1977"
kew-2769336,A,Ebenaceae,,Diospyros,,"aequoris",,"","Standl.",Accepted,,H,WCSP,383620,297833-2,"Publ. Carnegie Inst. Wash.","461: 80","","1935"
tro-50334414,A,Ebenaceae,,Diospyros,,"aequoris",subsp.,"martineziana","(Standl.) M.C. Provance, I. García & A.C. Sanders",Accepted,,L,TRO,50334414,77099748-1,"J. Bot. Res. Inst. Texas","2(2): 1069-1071, 1077, f. 34, 38d","1069","2008"
tro-50334415,A,Ebenaceae,,Diospyros,,"aequoris",subsp.,"rekoi","(Standl.) M.C. Provance, I. García & A.C. Sanders",Accepted,,L,TRO,50334415,77099749-1,"J. Bot. Res. Inst. Texas","2(2): 1071-1074, 1077, f. 35, 38a","1071","2008"
kew-2769337,A,Ebenaceae,,Diospyros,,"affinis",,"","Thwaites",Accepted,,H,WCSP,383621,322051-1,"Enum. Pl. Zeyl.","179","","1860"
kew-2769340,A,Ebenaceae,,Diospyros,,"aifatensis",,"","Kosterm.",Accepted,,H,WCSP,383624,322054-1,"Blumea","23: 450","","1977"
kew-2769343,A,Ebenaceae,,Diospyros,,"alatella",,"","Kosterm.",Accepted,,H,WCSP,383627,322057-1,"Blumea","23: 451","","1977"
kew-2769345,A,Ebenaceae,,Diospyros,,"albiflora",,"","Alston",Accepted,,H,WCSP,383629,322059-1,"Handb. Fl. Ceylon","6(Suppl.): 180","","1931"
kew-2769346,A,Ebenaceae,,Diospyros,,"alboflavescens",,"","(Gürke) F.White",Accepted,,H,WCSP,383630,322061-1,"Bull. Jard. Bot. État","26: 241","","1956"
kew-2769347,A,Ebenaceae,,Diospyros,,"alisu",,"","B.Walln.",Accepted,,H,WCSP,383631,77067575-1,"Ann. Naturhist. Mus. Wien, B","106: 237","","2005"
kew-2769348,A,Ebenaceae,,Diospyros,,"alpina",,"","Kosterm.",Accepted,,H,WCSP,383632,322062-1,"Blumea","23: 451","","1977"
kew-2769350,A,Ebenaceae,,Diospyros,,"amabi",,"","B.Walln.",Accepted,,H,WCSP,383634,77067576-1,"Ann. Naturhist. Mus. Wien, B","106: 239","","2005"
kew-2769351,A,Ebenaceae,,Diospyros,,"amanap",,"","B.Walln.",Accepted,,H,WCSP,383635,77067577-1,"Ann. Naturhist. Mus. Wien, B","106: 240","","2005"
kew-2769352,A,Ebenaceae,,Diospyros,,"amaniensis",,"","Gürke",Accepted,,H,WCSP,383636,322064-1,"Bot. Jahrb. Syst.","46: 155","","1911"
kew-2769356,A,Ebenaceae,,Diospyros,,"amboinensis",,"","Bakh.",Accepted,,H,WCSP,383640,322068-1,"Gard. Bull. Straits Settlem.","7: 164","","1933"
kew-2769360,A,Ebenaceae,,Diospyros,,"analamerensis",,"","H.Perrier",Accepted,,H,WCSP,383644,322073-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 124","","1952"
kew-2769361,A,Ebenaceae,,Diospyros,,"andamanica",,"","(Kurz) Bakh.",Accepted,,H,WCSP,383645,322074-1,"Bull. Jard. Bot. Buitenzorg","III, 15: 74","","1937"
kew-2769364,A,Ebenaceae,,Diospyros,,"angulata",,"","Poir.",Accepted,,H,WCSP,383647,322076-1,"Encycl.","5: 434","","1804"
kew-2769367,A,Ebenaceae,,Diospyros,,"anisandra",,"","S.F.Blake",Accepted,,H,WCSP,383650,81170-2,"Proc. Biol. Soc. Wash.","34: 44","","1921"
kew-2769368,A,Ebenaceae,,Diospyros,,"anisocalyx",,"","C.Y.Wu",Accepted,,H,WCSP,383651,895876-1,"Rep. Yunnan Trop. Subtrop. Fl. Res. Inst.","1: 9","","1965"
kew-2769369,A,Ebenaceae,,Diospyros,,"anitae",,"","F.White",Accepted,,H,WCSP,383652,896453-1,"Bol. Soc. Brot.","II, 54: 1","","1980-1981 publ. 1980"
kew-2769370,A,Ebenaceae,,Diospyros,,"ankifiensis",,"","H.Perrier",Accepted,,H,WCSP,383653,322079-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 153","","1952"
kew-2769372,A,Ebenaceae,,Diospyros,,"anosivolensis",,"","H.Perrier",Accepted,,H,WCSP,383655,322081-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 124","","1952"
kew-2769374,A,Ebenaceae,,Diospyros,,"apeibocarpos",,"","Raddi",Accepted,,H,WCSP,383657,,"Mem. Reale Accad. Sci. Modena","18(Fis.): 391","","1820"
kew-2769375,A,Ebenaceae,,Diospyros,,"apiculata",,"","Hiern",Accepted,,H,WCSP,383658,322084-1,"Trans. Cambridge Philos. Soc.","12: 186","","1873"
kew-2769377,A,Ebenaceae,,Diospyros,,"araripensis",,"","Cavalcante",Accepted,,H,WCSP,383660,81172-2,"Bol. Mus. Paraense Emilio Goeldi, N. S., Bot.","21: 2","","1963"
kew-2769378,A,Ebenaceae,,Diospyros,,"areolata",,"","King & Gamble",Accepted,,H,WCSP,383661,322087-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","74(2): 228","","1906"
kew-2769379,A,Ebenaceae,,Diospyros,,"areolifolia",,"","Kosterm.",Accepted,,H,WCSP,383662,322088-1,"Blumea","23: 452","","1977"
kew-2769380,A,Ebenaceae,,Diospyros,,"argentea",,"","Griff.",Accepted,,H,WCSP,383663,322089-1,"Not. Pl. Asiat.","4: 288","","1854"
kew-2769382,A,Ebenaceae,,Diospyros,,"armata",,"","Hemsl.",Accepted,,H,WCSP,383665,322091-1,"J. Linn. Soc., Bot.","26: 69","","1889"
kew-2769386,A,Ebenaceae,,Diospyros,,"artanthifolia",,"","Mart. ex Miq.",Accepted,,H,WCSP,383669,322093-1,"Fl. Bras.","7: 7","","1856"
kew-2769387,A,Ebenaceae,,Diospyros,,"arupaj",,"","B.Walln.",Accepted,,H,WCSP,383670,320690-2,"Ann. Naturhist. Mus. Wien, B","102B: 418","","2000"
kew-2769391,A,Ebenaceae,,Diospyros,,"atrata",,"","(Thwaites) Alston",Accepted,,H,WCSP,383674,322097-1,"Handb. Fl. Ceylon","6(Suppl.): 180","","1931"
kew-2769393,A,Ebenaceae,,Diospyros,,"atrotricha",,"","H.W.Li",Accepted,,H,WCSP,383676,895877-1,"Rep. Yunnan Trop. Subtrop. Fl. Res. Inst.","1: 15","","1965"
kew-2769394,A,Ebenaceae,,Diospyros,,"attenuata",,"","Thwaites",Accepted,,H,WCSP,383677,322099-1,"Enum. Pl. Zeyl.","182","","1860"
kew-2769395,A,Ebenaceae,,Diospyros,,"aurea",,"","Teijsm. & Binn.",Accepted,,H,WCSP,383678,322102-1,"Ned. Kruidk. Arch.","3: 405","","1855"
kew-2769397,A,Ebenaceae,,Diospyros,,"australis",,"","(R.Br.) Hiern",Accepted,,L,WCSP,383680,322104-1,"Trans. Cambridge Philos. Soc.","12: 54","","1873"
kew-2769407,A,Ebenaceae,,Diospyros,,"balansae",,"","Guillaumin",Accepted,,H,WCSP,383690,322109-1,"Bull. Soc. Bot. France","69: 67","","1922"
kew-2769408,A,Ebenaceae,,Diospyros,,"balfouriana",,"","Diels",Accepted,,H,WCSP,383691,322110-1,"Notes Roy. Bot. Gard. Edinburgh","5: 209","","1912"
kew-2769409,A,Ebenaceae,,Diospyros,,"baloen-ldjoek",,"","Bakh.",Accepted,,H,WCSP,383692,322111-1,"Gard. Bull. Straits Settlem.","7: 165","","1933"
kew-2769410,A,Ebenaceae,,Diospyros,,"bambuseti",,"","Fletcher",Accepted,,H,WCSP,383693,322112-1,"Bull. Misc. Inform. Kew","1937: 387","","1937"
kew-2769411,A,Ebenaceae,,Diospyros,,"bangkana",,"","Bakh.",Accepted,,H,WCSP,383694,322113-1,"Gard. Bull. Straits Settlem.","7: 165","","1933"
kew-2769412,A,Ebenaceae,,Diospyros,,"bangoiensis",,"","Lecomte",Accepted,,H,WCSP,383695,322114-1,"Notul. Syst. (Paris)","4: 105","","1928"
kew-2769415,A,Ebenaceae,,Diospyros,,"baranensis",,"","Lecomte",Accepted,,H,WCSP,383698,322119-1,"Notul. Syst. (Paris)","4: 111","","1929"
kew-2769416,A,Ebenaceae,,Diospyros,,"barberi",,"","Ramaswami",Accepted,,H,WCSP,383699,322120-1,"J. Proc. Asiat. Soc. Bengal","10: 47","","1914"
kew-2769417,A,Ebenaceae,,Diospyros,,"baroniana",,"","H.Perrier",Accepted,,H,WCSP,383700,322121-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 138","","1952"
tro-50334478,A,Ebenaceae,,Diospyros,,"baronii",,"","(H. Perrier) G.E. Schatz & Lowry",Accepted,,L,TRO,50334478,,"","","",""
kew-2769418,A,Ebenaceae,,Diospyros,,"barteri",,"","Hiern",Accepted,,H,WCSP,383701,322122-1,"Trans. Cambridge Philos. Soc.","12: 187","","1873"
kew-2769419,A,Ebenaceae,,Diospyros,,"batocana",,"","Hiern",Accepted,,H,WCSP,383702,322123-1,"Trans. Cambridge Philos. Soc.","12: 174","","1873"
kew-2769422,A,Ebenaceae,,Diospyros,,"beccarioides",,"","Ng",Accepted,,H,WCSP,383705,20001481-1,"Gard. Bull. Singapore","53: 291","","2001"
kew-2769423,A,Ebenaceae,,Diospyros,,"bejaudii",,"","Lecomte",Accepted,,H,WCSP,383706,322127-1,"Bull. Mus. Natl. Hist. Nat.","II, 1: 430","","1929"
kew-2769424,A,Ebenaceae,,Diospyros,,"bemarivensis",,"","H.Perrier",Accepted,,H,WCSP,383707,322128-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 136","","1952"
kew-2769426,A,Ebenaceae,,Diospyros,,"benstonei",,"","Kosterm.",Accepted,,H,WCSP,383709,322130-1,"Blumea","23: 452","","1977"
kew-2769428,A,Ebenaceae,,Diospyros,,"bernieri",,"","Hiern",Accepted,,H,WCSP,383711,322132-1,"Trans. Cambridge Philos. Soc.","12: 268","","1873"
kew-2769429,A,Ebenaceae,,Diospyros,,"bernieriana",,"","(Baill.) H.Perrier",Accepted,,L,WCSP,383712,322133-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 154","","1952"
kew-2769433,A,Ebenaceae,,Diospyros,,"bezofensis",,"","H.Perrier",Accepted,,H,WCSP,383716,322137-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 134","","1952"
kew-2769434,A,Ebenaceae,,Diospyros,,"bibracteata",,"","Bakh.",Accepted,,H,WCSP,383717,322138-1,"Gard. Bull. Straits Settlem.","7: 165","","1933"
kew-2769440,A,Ebenaceae,,Diospyros,,"bipindensis",,"","Gürke",Accepted,,H,WCSP,383723,322145-1,"Bot. Jahrb. Syst.","26: 70","","1898"
kew-2769442,A,Ebenaceae,,Diospyros,,"blepharophylla",,"","Standl.",Accepted,,H,WCSP,383725,297834-2,"Contr. U. S. Natl. Herb.","18: 119","","1916"
kew-2769443,A,Ebenaceae,,Diospyros,,"blumutensis",,"","Ng",Accepted,,H,WCSP,383726,322148-1,"Malaysian Forester","40: 213","","1977"
kew-2769444,A,Ebenaceae,,Diospyros,,"boala",,"","De Wild.",Accepted,,H,WCSP,383727,322149-1,"Pl. Bequaert.","3: 536","","1926"
tro-50334578,A,Ebenaceae,,Diospyros,,"boinensis",,"","(H. Perrier) G.E. Schatz & Lowry",Accepted,,M,TRO,50334578,,"","","",""
kew-2769447,A,Ebenaceae,,Diospyros,,"boivinii",,"","Hiern",Accepted,,H,WCSP,383730,322153-1,"Trans. Cambridge Philos. Soc.","12: 194","","1873"
kew-2769449,A,Ebenaceae,,Diospyros,,"boliviana",,"","Rusby",Accepted,,H,WCSP,383732,81173-2,"Mem. New York Bot. Gard.","7: 320","","1927"
kew-2769450,A,Ebenaceae,,Diospyros,,"bonii",,"","Lecomte",Accepted,,H,WCSP,383733,322155-1,"Notul. Syst. (Paris)","4: 111","","1928"
kew-2769451,A,Ebenaceae,,Diospyros,,"borbonica",,"","I.Richardson",Accepted,,H,WCSP,383734,322156-1,"Kew Bull.","34: 730","","1980"
kew-2769452,A,Ebenaceae,,Diospyros,,"borneensis",,"","Hiern",Accepted,,H,WCSP,383735,322157-1,"Trans. Cambridge Philos. Soc.","12: 173","","1873"
kew-2769453,A,Ebenaceae,,Diospyros,,"bourdillonii",,"","Brandis",Accepted,,H,WCSP,383736,322158-1,"Indian Trees","435","","1906"
kew-2769454,A,Ebenaceae,,Diospyros,,"boutoniana",,"","A.DC.",Accepted,,H,WCSP,383737,322159-1,"Prodr.","8: 236","","1844"
kew-2769458,A,Ebenaceae,,Diospyros,,"brainii",,"","Ng",Accepted,,H,WCSP,383741,20001482-1,"Gard. Bull. Singapore","53: 292","","2001"
kew-2769459,A,Ebenaceae,,Diospyros,,"brandisiana",,"","Kurz",Accepted,,H,WCSP,383742,322163-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","40(2): 72","","1871"
kew-2769460,A,Ebenaceae,,Diospyros,,"brasiliensis",,"","Mart. ex Miq.",Accepted,,H,WCSP,383743,322164-1,"Fl. Bras.","7: 5","","1856"
kew-2769461,A,Ebenaceae,,Diospyros,,"brassica",,"","F.White",Accepted,,H,WCSP,383744,971460-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","14: 182","","1992 publ. 1993"
kew-2769462,A,Ebenaceae,,Diospyros,,"brevicalyx",,"","Boerl. & Koord.-Schum.",Accepted,,H,WCSP,383745,322165-1,"Syst. Verz.","2: 50","","1911"
kew-2769463,A,Ebenaceae,,Diospyros,,"brideliifolia",,"","Elmer",Accepted,,H,WCSP,383746,322166-1,"Leafl. Philipp. Bot.","2: 507","","1908"
kew-2769464,A,Ebenaceae,,Diospyros,,"britannoborneensis",,"","Bakh.",Accepted,,H,WCSP,383747,,"Bull. Jard. Bot. Buitenzorg","III, 15: 333","","1938"
kew-2769466,A,Ebenaceae,,Diospyros,,"bullata",,"","A.C.Sm.",Accepted,,H,WCSP,383749,81174-2,"J. Arnold Arbor.","20: 302","","1939"
kew-2769467,A,Ebenaceae,,Diospyros,,"bumelioides",,"","Standl.",Accepted,,H,WCSP,383750,81175-2,"Trop. Woods","18: 31","","1929"
kew-2769468,A,Ebenaceae,,Diospyros,,"bundeyana",,"","Kosterm.",Accepted,,H,WCSP,383751,322172-1,"Blumea","23: 454","","1977"
kew-2769469,A,Ebenaceae,,Diospyros,,"burchellii",,"","Hiern",Accepted,,H,WCSP,383752,322173-1,"J. Bot.","12: 240","","1874"
kew-2769470,A,Ebenaceae,,Diospyros,,"burmanica",,"","Kurz",Accepted,,H,WCSP,383753,322174-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","40(2): 73","","1871"
kew-2769471,A,Ebenaceae,,Diospyros,,"bussei",,"","Gürke",Accepted,,H,WCSP,383754,322175-1,"Bot. Jahrb. Syst.","46: 158","","1911"
kew-2769472,A,Ebenaceae,,Diospyros,,"buxifolia",,"","(Blume) Hiern",Accepted,,H,WCSP,383755,322176-1,"Trans. Cambridge Philos. Soc.","12: 218","","1873"
kew-2769473,A,Ebenaceae,,Diospyros,,"cacharensis",,"","(Das & P.C.Kanjilal) H.B.Naithani",Accepted,,H,WCSP,383756,322177-1,"Indian Forester","106: 583","","1980"
kew-2769474,A,Ebenaceae,,Diospyros,,"cachimboensis",,"","Pires & Cavalc.",Accepted,,H,WCSP,383757,81176-2,"Bol. Mus. Paraense Emilio Goeldi, N. S., Bot.","9: 1","","1960"
kew-2769476,A,Ebenaceae,,Diospyros,,"calcicola",,"","Merr.",Accepted,,H,WCSP,383759,322181-1,"Philipp. J. Sci.","26: 487","","1925"
kew-2769477,A,Ebenaceae,,Diospyros,,"calciphila",,"","F.White",Accepted,,H,WCSP,383760,971477-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","14: 206","","1992 publ. 1993"
kew-2769478,A,Ebenaceae,,Diospyros,,"californica",,"","(Brandegee) I.M.Johnst.",Accepted,,H,WCSP,383761,81177-2,"Proc. Calif. Acad. Sci.","IV, 12: 1124","","1924"
kew-2769481,A,Ebenaceae,,Diospyros,,"caloneura",,"","C.Y.Wu",Accepted,,H,WCSP,383764,895878-1,"Rep. Yunnan Trop. Subtrop. Fl. Res. Inst.","1: 14","","1965"
kew-2769482,A,Ebenaceae,,Diospyros,,"calophylla",,"","Hiern",Accepted,,H,WCSP,383765,322184-1,"Trans. Cambridge Philos. Soc.","12: 156","","1873"
kew-2769483,A,Ebenaceae,,Diospyros,,"calycantha",,"","O.Schwarz",Accepted,,H,WCSP,383766,322185-1,"Repert. Spec. Nov. Regni Veg.","24: 93","","1927"
kew-2769488,A,Ebenaceae,,Diospyros,,"cambodiana",,"","Lecomte",Accepted,,H,WCSP,383771,322191-1,"Bull. Mus. Natl. Hist. Nat.","II, 1: 431","","1929"
kew-2769489,A,Ebenaceae,,Diospyros,,"campanulata",,"","Bakh.",Accepted,,H,WCSP,383772,322192-1,"Gard. Bull. Straits Settlem.","7: 166","","1933"
kew-2769490,A,Ebenaceae,,Diospyros,,"campechiana",,"","Lundell",Accepted,,H,WCSP,383773,81179-2,"Contr. Univ. Michigan Herb.","4: 23","","1940"
kew-2769491,A,Ebenaceae,,Diospyros,,"canaliculata",,"","De Wild.",Accepted,,H,WCSP,383774,322194-1,"Pl. Bequaert.","3: 537","","1926"
kew-2769493,A,Ebenaceae,,Diospyros,,"candolleana",,"","Wight",Accepted,,H,WCSP,383776,322197-1,"Icon. Pl. Ind. Orient.","4: t. 1221","","1848"
kew-2769499,A,Ebenaceae,,Diospyros,,"capreifolia",,"","Mart. ex Hiern",Accepted,,H,WCSP,383782,322202-1,"Trans. Cambridge Philos. Soc.","12: 254","","1873"
kew-2769500,A,Ebenaceae,,Diospyros,,"capricornuta",,"","F.White",Accepted,,H,WCSP,383783,935991-1,"Bull. Jard. Bot. Natl. Belg.","58: 405","","1988"
kew-2769501,A,Ebenaceae,,Diospyros,,"carbonaria",,"","Benoist",Accepted,,H,WCSP,383784,81181-2,"Arch. Bot. Mém.","5(1): 249","","1933"
kew-2769504,A,Ebenaceae,,Diospyros,,"caribaea",,"","(A.DC.) Standl.",Accepted,,H,WCSP,383787,81182-2,"Publ. Carnegie Inst. Wash.","461: 80","","1935"
kew-2769506,A,Ebenaceae,,Diospyros,,"carpinifolia",,"","(Ridl.) Bakh.",Accepted,,H,WCSP,383789,,"Gard. Bull. Straits Settlem.","7: 162","","1933"
kew-2769509,A,Ebenaceae,,Diospyros,,"castanea",,"","(Craib) Fletcher",Accepted,,H,WCSP,383792,322210-1,"Bull. Misc. Inform. Kew","1937: 382","","1937"
kew-2769511,A,Ebenaceae,,Diospyros,,"cathayensis",,"","Steward",Accepted,,H,WCSP,383794,322212-1,"J. Arnold Arbor.","35: 86","","1954"
kew-2769514,A,Ebenaceae,,Diospyros,,"caudisepala",,"","Bakh.",Accepted,,H,WCSP,383797,322214-1,"Bull. Jard. Bot. Buitenzorg","III, 15: 396","","1941"
kew-2769515,A,Ebenaceae,,Diospyros,,"cauliflora",,"","Blume",Accepted,,L,WCSP,383798,322215-1,"Bijdr.","668","","1826"
kew-2769518,A,Ebenaceae,,Diospyros,,"cauligera",,"","F.White",Accepted,,H,WCSP,383801,81184-2,"Mem. New York Bot. Gard.","32: 325","","1981"
kew-2769519,A,Ebenaceae,,Diospyros,,"cavalcantei",,"","Sothers",Accepted,,H,WCSP,383802,320551-2,"Kew Bull.","55: 471","","2000"
kew-2769520,A,Ebenaceae,,Diospyros,,"cayennensis",,"","A.DC.",Accepted,,H,WCSP,383803,322218-1,"Prodr.","8: 224","","1844"
kew-2769521,A,Ebenaceae,,Diospyros,,"celebica",,"","Bakh.",Accepted,,H,WCSP,383804,322219-1,"Gard. Bull. Straits Settlem.","7: 166","","1933"
kew-2769523,A,Ebenaceae,,Diospyros,,"chaetocarpa",,"","Kosterm.",Accepted,,H,WCSP,383806,322221-1,"Ceylon J. Sci., Biol. Sci.","12: 93","","1977"
kew-2769525,A,Ebenaceae,,Diospyros,,"chamaethamnus",,"","Mildbr.",Accepted,,H,WCSP,383808,322223-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 757","","1942"
kew-2769526,A,Ebenaceae,,Diospyros,,"changii",,"","R.H.Miao",Accepted,,H,WCSP,383809,974365-1,"Acta Sci. Nat. Univ. Sunyatseni","32(4): 64","","1993"
kew-2769527,A,Ebenaceae,,Diospyros,,"chartacea",,"","Wall. ex A.DC.",Accepted,,H,WCSP,383810,,"Prodr.","8: 232","","1844"
kew-2769528,A,Ebenaceae,,Diospyros,,"cherrieri",,"","F.White",Accepted,,H,WCSP,383811,971480-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","14: 208","","1992 publ. 1993"
kew-2769529,A,Ebenaceae,,Diospyros,,"chevalieri",,"","De Wild.",Accepted,,H,WCSP,383812,322225-1,"Pl. Bequaert.","3: 538","","1926"
kew-2769533,A,Ebenaceae,,Diospyros,,"chloroxylon",,"","Roxb.",Accepted,,H,WCSP,383816,322230-1,"Pl. Coromandel","1: 38","","1795"
kew-2769534,A,Ebenaceae,,Diospyros,,"choboensis",,"","Lecomte",Accepted,,H,WCSP,383817,322231-1,"Notul. Syst. (Paris)","4: 103","","1928"
kew-2769535,A,Ebenaceae,,Diospyros,,"christophersenii",,"","Fosberg",Accepted,,H,WCSP,383818,322232-1,"Bull. Torrey Bot. Club","65: 613","","1939"
kew-2769536,A,Ebenaceae,,Diospyros,,"chrysocarpa",,"","F.White",Accepted,,H,WCSP,383819,322234-1,"Bull. Jard. Bot. Natl. Belg.","48: 331","","1978"
kew-2769537,A,Ebenaceae,,Diospyros,,"chrysophyllos",,"","Poir.",Accepted,,H,WCSP,383820,322235-1,"Encycl.","5: 433","","1804"
kew-2769538,A,Ebenaceae,,Diospyros,,"chunii",,"","Metcalf & L.Chen",Accepted,,H,WCSP,383821,322236-1,"Lingnan Sci. J.","14: 618","","1935"
kew-2769541,A,Ebenaceae,,Diospyros,,"cinnabarina",,"","(Gürke) F.White",Accepted,,H,WCSP,383824,322240-1,"Bull. Jard. Bot. État","26: 242","","1956"
kew-2769542,A,Ebenaceae,,Diospyros,,"cinnamomoides",,"","H.Perrier",Accepted,,H,WCSP,383825,322241-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 122","","1952"
kew-2769547,A,Ebenaceae,,Diospyros,,"clementium",,"","Bakh.",Accepted,,H,WCSP,383830,322245-1,"Gard. Bull. Straits Settlem.","7: 167","","1933"
tro-50334494,A,Ebenaceae,,Diospyros,,"clusiifolia",,"","(Hiern) G.E. Schatz & Lowry",Accepted,,M,TRO,50334494,,"","","",""
kew-2769548,A,Ebenaceae,,Diospyros,,"coaetanca",,"","Fletcher",Accepted,,H,WCSP,383831,,"Bull. Misc. Inform. Kew","1937: 383","","1937"
kew-2769549,A,Ebenaceae,,Diospyros,,"coccinea",,"","Gürke ex De Wild.",Accepted,,H,WCSP,383832,322247-1,"Pl. Bequaert.","3: 538","","1926"
kew-2769550,A,Ebenaceae,,Diospyros,,"coccolobifolia",,"","Mart. ex Miq.",Accepted,,H,WCSP,383833,322248-1,"Fl. Bras.","7: 6","","1856"
kew-2769551,A,Ebenaceae,,Diospyros,,"collinsiae",,"","Craib",Accepted,,H,WCSP,383834,322249-1,"Bull. Misc. Inform. Kew","1920: 302","","1920"
kew-2769553,A,Ebenaceae,,Diospyros,,"comorensis",,"","Hiern",Accepted,,H,WCSP,383836,322251-1,"Trans. Cambridge Philos. Soc.","12: 220","","1873"
kew-2769557,A,Ebenaceae,,Diospyros,,"confertiflora",,"","(Hiern) Bakh.",Accepted,,H,WCSP,383840,322256-1,"Gard. Bull. Straits Settlem.","7: 162","","1933"
kew-2769558,A,Ebenaceae,,Diospyros,,"conformis",,"","Bakh.",Accepted,,H,WCSP,383841,322257-1,"Gard. Bull. Straits Settlem.","7: 167","","1933"
kew-2769560,A,Ebenaceae,,Diospyros,,"conifera",,"","H.Perrier",Accepted,,H,WCSP,383843,322259-1,"Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.","4: 115","","1952"
kew-2769561,A,Ebenaceae,,Diospyros,,"conocarpa",,"","Gürke ex K.Schum.",Accepted,,H,WCSP,383844,322260-1,"Bot. Jahrb. Syst.","14: 311","","1892"
kew-2769562,A,Ebenaceae,,Diospyros,,"consanguinea",,"","Merr.",Accepted,,H,WCSP,383845,322261-1,"Univ. Calif. Publ. Bot.","15: 244","","1929"
kew-2769563,A,Ebenaceae,,Diospyros,,"consolatae",,"","Chiov.",Accepted,,H,WCSP,383846,322262-1,"Racc. Bot. Miss. Consol. Kenya","77","","1935"
kew-2769564,A,Ebenaceae,,Diospyros,,"conzattii",,"","Standl.",Accepted,,H,WCSP,383847,81185-2,"J. Wash. Acad. Sci.","12: 399","","1922"
kew-2769565,A,Ebenaceae,,Diospyros,,"cooperi",,"","(Hutch. & Dalziel) F.White",Accepted,,H,WCSP,383848,322264-1,"Bull. Jard. Bot. État","26: 243","","1956"
