ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623431,A,Orobanchaceae,,Aeginetia,,"indica",,"","L.",Accepted,,M,WCSP (in review),747288,661840-1,"Sp. Pl.","632","","1753"
kew-2623437,A,Orobanchaceae,,Aeginetia,,"mirabilis",,"","(Blume) Bakh.",Accepted,,M,WCSP (in review),747294,661843-1,"Trop. Natuur","10: 156","","1921"
kew-2623439,A,Orobanchaceae,,Aeginetia,,"pedunculata",,"","Wall.",Accepted,,M,WCSP (in review),747296,661846-1,"Pl. Asiat. Rar.","3: 13","","1831"
kew-2623445,A,Orobanchaceae,,Aeginetia,,"selebica",,"","Bakh.",Accepted,,M,WCSP (in review),747302,661852-1,"Bull. Jard. Bot. Buitenzorg","III, 13: 89","","1933"
kew-2623446,A,Orobanchaceae,,Aeginetia,,"sessilis",,"","Shivam. & Rajanna",Accepted,,M,WCSP (in review),747303,981632-1,"Rheedea","4: 133","","1994"
kew-2623448,A,Orobanchaceae,,Aeginetia,,"sinensis",,"","Beck",Accepted,,M,WCSP (in review),747305,661854-1,"Pflanzenr.","IV, 261: 19","","1930"
kew-2625018,A,Orobanchaceae,,Agalinis,,"acuta",,"","Pennell",Accepted,,M,WCSP (in review),748866,6146-2,"Bull. Torrey Bot. Club","43: 338","","1915"
kew-2625020,A,Orobanchaceae,,Agalinis,,"angustifolia",,"","(Mart.) D'Arcy",Accepted,,M,WCSP (in review),748868,6148-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625021,A,Orobanchaceae,,Agalinis,,"aphylla",,"","(Nutt.) Raf.",Accepted,,M,WCSP (in review),748869,798542-1,"New Fl.","2: 65","","1837"
kew-2625022,A,Orobanchaceae,,Agalinis,,"aspera",,"","(Douglas ex Benth.) Britton",Accepted,,M,WCSP (in review),748870,6149-2,"Ill. Fl. N. U.S.","2(3): 209","","1913"
kew-2625023,A,Orobanchaceae,,Agalinis,,"auriculata",,"","(Michx.) S.F.Blake",Accepted,,M,WCSP (in review),748871,6150-2,"Rhodora","20: 71","","1918"
kew-2625024,A,Orobanchaceae,,Agalinis,,"bandeirensis",,"","Barringer",Accepted,,M,WCSP (in review),748872,271792-2,"Brittonia","39: 353","","1987"
kew-2625025,A,Orobanchaceae,,Agalinis,,"bangii",,"","(Kuntze) Barringer",Accepted,,M,WCSP (in review),748873,944561-1,"Brittonia","39: 353","","1987"
kew-2625027,A,Orobanchaceae,,Agalinis,,"brachyphylla",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),748875,6152-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
tro-29204908,A,Orobanchaceae,,Agalinis,,"brevifolia",,"","(Rusby) S. Beck",Accepted,,L,TRO,29204908,,"","","",""
kew-2625029,A,Orobanchaceae,,Agalinis,,"calycina",,"","Pennell",Accepted,,M,WCSP (in review),748877,6154-2,"Proc. Acad. Nat. Sci. Philadelphia","81: 141","","1929"
kew-2625030,A,Orobanchaceae,,Agalinis,,"chaparensis",,"","Barringer",Accepted,,M,WCSP (in review),748878,271793-2,"Brittonia","37: 352","","1985"
kew-2625031,A,Orobanchaceae,,Agalinis,,"communis",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),748879,6155-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625035,A,Orobanchaceae,,Agalinis,,"densiflora",,"","(Benth.) S.F.Blake",Accepted,,M,WCSP (in review),748883,6158-2,"Rhodora","20: 71","","1918"
kew-2625036,A,Orobanchaceae,,Agalinis,,"digitalis",,"","(Benth.) Barringer",Accepted,,M,WCSP (in review),748884,271794-2,"Brittonia","39: 355","","1987"
kew-2625037,A,Orobanchaceae,,Agalinis,,"divaricata",,"","(Chapm.) Pennell",Accepted,,M,WCSP (in review),748885,6159-2,"Bull. Torrey Bot. Club","40: 437","","1913"
kew-2625038,A,Orobanchaceae,,Agalinis,,"domingensis",,"","(Spreng.) D'Arcy",Accepted,,M,WCSP (in review),748886,6160-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625039,A,Orobanchaceae,,Agalinis,,"edwardsiana",,"","Pennell",Accepted,,M,WCSP (in review),748887,6161-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 522","","1922"
kew-2625042,A,Orobanchaceae,,Agalinis,,"fasciculata",,"","(Scott-Elliot) Raf.",Accepted,,M,WCSP (in review),748890,798556-1,"New Fl.","2: 63","","1837"
kew-2625045,A,Orobanchaceae,,Agalinis,,"fiebrigii",,"","(Diels) D'Arcy",Accepted,,M,WCSP (in review),748893,6166-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625046,A,Orobanchaceae,,Agalinis,,"filicaulis",,"","(Benth.) Pennell",Accepted,,M,WCSP (in review),748894,6167-2,"Bull. Torrey Bot. Club","40: 438","","1913"
kew-2625047,A,Orobanchaceae,,Agalinis,,"filifolia",,"","(Nutt.) Raf.",Accepted,,M,WCSP (in review),748895,798558-1,"New Fl.","2: 65","","1837"
kew-2625050,A,Orobanchaceae,,Agalinis,,"gattingeri",,"","(Small) Small ex Britton & A.Br.",Accepted,,M,WCSP (in review),748898,,"Ill. Fl. N. U.S.","2(3): 213","","1913"
kew-2625051,A,Orobanchaceae,,Agalinis,,"genistifolia",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),748899,6171-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625057,A,Orobanchaceae,,Agalinis,,"gypsophila",,"","B.L.Turner",Accepted,,M,WCSP (in review),748905,271796-2,"Phytologia","59: 319","","1986"
kew-2625059,A,Orobanchaceae,,Agalinis,,"heterophylla",,"","(Nutt.) Small ex Britton",Accepted,,M,WCSP (in review),748907,,"Ill. Fl. N. U.S.","3: 209","","1913"
kew-2625062,A,Orobanchaceae,,Agalinis,,"homalantha",,"","Pennell",Accepted,,M,WCSP (in review),748910,6181-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 525","","1922"
kew-2625063,A,Orobanchaceae,,Agalinis,,"humilis",,"","(Diels) D'Arcy",Accepted,,M,WCSP (in review),748911,6182-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625064,A,Orobanchaceae,,Agalinis,,"itambensis",,"","V.C.Souza & S.I.Elias",Accepted,,M,WCSP (in review),748912,322143-2,"Novon","11: 484","","2001"
kew-2625066,A,Orobanchaceae,,Agalinis,,"kingsii",,"","Proctor",Accepted,,M,WCSP (in review),748914,798530-1,"Sloanea","1: 3","","1977"
kew-2625068,A,Orobanchaceae,,Agalinis,,"lanceolata",,"","(Ruiz & Pav.) D'Arcy",Accepted,,M,WCSP (in review),748916,6185-2,"Phytologia","45: 353","","1980"
kew-2625069,A,Orobanchaceae,,Agalinis,,"laxa",,"","Pennell",Accepted,,M,WCSP (in review),748917,6186-2,"Bull. Torrey Bot. Club","40: 431","","1913"
kew-2625070,A,Orobanchaceae,,Agalinis,,"linarioides",,"","(Cham. & Schltdl.) D'Arcy",Accepted,,M,WCSP (in review),748918,6187-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625072,A,Orobanchaceae,,Agalinis,,"linifolia",,"","(Nutt.) Britton",Accepted,,M,WCSP (in review),748920,6188-2,"Ill. Fl. N. U.S.","2(3): 209","","1913"
kew-2625074,A,Orobanchaceae,,Agalinis,,"maritima",,"","(Raf.) Raf.",Accepted,,M,WCSP (in review),748922,798574-1,"New Fl.","2: 62","","1837"
kew-2625077,A,Orobanchaceae,,Agalinis,,"megalantha",,"","(Diels) D'Arcy",Accepted,,M,WCSP (in review),748925,6191-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625078,A,Orobanchaceae,,Agalinis,,"meyeniana",,"","(Benth.) Barringer",Accepted,,M,WCSP (in review),748926,271798-2,"Brittonia","39: 355","","1987"
kew-2625080,A,Orobanchaceae,,Agalinis,,"nana",,"","S.I.Elias & V.C.Souza",Accepted,,M,WCSP (in review),748928,322144-2,"Novon","11: 486","","2001"
kew-2625081,A,Orobanchaceae,,Agalinis,,"navasotensis",,"","Dubrule & Canne-Hill.",Accepted,,M,WCSP (in review),748929,300179-2,"Sida","15: 426","","1993"
kew-2625082,A,Orobanchaceae,,Agalinis,,"neoscotica",,"","(Greene) Fernald",Accepted,,M,WCSP (in review),748930,6192-2,"Rhodora","23: 139","","1921"
kew-2625083,A,Orobanchaceae,,Agalinis,,"nuttallii",,"","Shinners",Accepted,,M,WCSP (in review),748931,297742-2,"Castanea","27: 88","","1962"
kew-2625084,A,Orobanchaceae,,Agalinis,,"obtusifolia",,"","Raf.",Accepted,,M,WCSP (in review),748932,798578-1,"New Fl.","2: 64","","1837"
kew-2625085,A,Orobanchaceae,,Agalinis,,"oligophylla",,"","Pennell",Accepted,,M,WCSP (in review),748933,6194-2,"Bull. Torrey Bot. Club","40: 432","","1913"
tro-100354106,A,Orobanchaceae,,Agalinis,,"ovatifolia",,"","(Rusby) S. Beck",Accepted,,L,TRO,100354106,,"","","",""
kew-2625089,A,Orobanchaceae,,Agalinis,,"paupercula",,"","(A.Gray) Britton",Accepted,,M,WCSP (in review),748937,6197-2,"Ill. Fl. N. U.S.","2(3): 210","","1913"
kew-2625096,A,Orobanchaceae,,Agalinis,,"peduncularis",,"","(Benth.) Pennell",Accepted,,M,WCSP (in review),748944,6204-2,"Rhodora","20: 135","","1918"
kew-2625097,A,Orobanchaceae,,Agalinis,,"pennellii",,"","Barringer",Accepted,,M,WCSP (in review),748945,271799-2,"Brittonia","37: 352","","1985"
kew-2625099,A,Orobanchaceae,,Agalinis,,"pinetorum",,"","Pennell",Accepted,,M,WCSP (in review),748947,6205-2,"Bull. Torrey Bot. Club","40: 424","","1913"
kew-2625101,A,Orobanchaceae,,Agalinis,,"plukenetii",,"","(Elliott) Raf.",Accepted,,M,WCSP (in review),748949,798587-1,"New Fl.","2: 63","","1837"
kew-2625103,A,Orobanchaceae,,Agalinis,,"pulchella",,"","Pennell",Accepted,,M,WCSP (in review),748951,6208-2,"Bull. Torrey Bot. Club","40: 428","","1913"
kew-2625104,A,Orobanchaceae,,Agalinis,,"purpurea",,"","(L.) Pennell",Accepted,,M,WCSP (in review),748952,6209-2,"Bull. Torrey Bot. Club","40: 424","","1913"
kew-2625113,A,Orobanchaceae,,Agalinis,,"ramosissima",,"","(Benth.) D'Arcy",Accepted,,M,WCSP (in review),748961,6217-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625114,A,Orobanchaceae,,Agalinis,,"ramulifera",,"","Barringer",Accepted,,M,WCSP (in review),748962,271800-2,"Brittonia","39: 355","","1987"
kew-2625115,A,Orobanchaceae,,Agalinis,,"reflexidens",,"","(Herzog) D'Arcy",Accepted,,M,WCSP (in review),748963,6218-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625117,A,Orobanchaceae,,Agalinis,,"scarlatina",,"","(Herzog) D'Arcy",Accepted,,M,WCSP (in review),748965,6220-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625118,A,Orobanchaceae,,Agalinis,,"schwackeana",,"","(Diels) V.C.Souza & Giul.",Accepted,,L,WCSP (in review),748966,1026082-2,"Novon","11: 487","","2001"
kew-2625119,A,Orobanchaceae,,Agalinis,,"setacea",,"","(J.F.Gmel.) Raf.",Accepted,,M,WCSP (in review),748967,798591-1,"New Fl.","2: 64","","1837"
tro-29202359,A,Orobanchaceae,,Agalinis,,"skinneriana",,"","(Alph. Wood) Britton",Accepted,,M,TRO,29202359,6221-2,"Ill. Fl. N. U.S. (ed. 2)","3: 212","212","1913"
kew-2625122,A,Orobanchaceae,,Agalinis,,"stenantha",,"","(Diels) D'Arcy",Accepted,,M,WCSP (in review),748970,6223-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625124,A,Orobanchaceae,,Agalinis,,"strictifolia",,"","(Benth.) Pennell",Accepted,,M,WCSP (in review),748972,6225-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 520","","1922"
kew-2625125,A,Orobanchaceae,,Agalinis,,"tarijensis",,"","(R.E.Fr.) D'Arcy",Accepted,,M,WCSP (in review),748973,6226-2,"Ann. Missouri Bot. Gard.","65: 770","","1978 publ. 1979"
kew-2625127,A,Orobanchaceae,,Agalinis,,"tenuifolia",,"","(Vahl) Raf.",Accepted,,M,WCSP (in review),748975,798597-1,"New Fl.","2: 64","","1837"
kew-2625135,A,Orobanchaceae,,Agalinis,,"viridis",,"","(Small) Pennell",Accepted,,M,WCSP (in review),748983,6234-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 521","","1922"
kew-2625136,A,Orobanchaceae,,Agalinis,,"wrightii",,"","(A.Gray) Tidestr.",Accepted,,M,WCSP (in review),748984,6235-2,"Proc. Biol. Soc. Wash.","48: 43","","1935"
kew-2627908,A,Orobanchaceae,,Alectra,,"aberdarica",,"","Chiov.",Accepted,,M,WCSP (in review),751734,798731-1,"Racc. Bot. Miss. Consol. Kenya","90","","1935"
kew-2627911,A,Orobanchaceae,,Alectra,,"alectroides",,"","(S.Moore) Melch.",Accepted,,M,WCSP (in review),751737,798733-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 125","","1940"
kew-2627913,A,Orobanchaceae,,Alectra,,"arabica",,"","Deflers",Accepted,,M,WCSP (in review),751739,798735-1,"Voy. Yemen","179","","1889"
kew-2627916,A,Orobanchaceae,,Alectra,,"asperrima",,"","Benth.",Accepted,,M,WCSP (in review),751742,798740-1,"Prodr.","10: 340","","1846"
kew-2627917,A,Orobanchaceae,,Alectra,,"atrosanguinea",,"","(Hiern) Hemsl.",Accepted,,M,WCSP (in review),751743,798741-1,"Fl. Trop. Afr.","4(2): 364","","1906"
kew-2627918,A,Orobanchaceae,,Alectra,,"aurantiaca",,"","Hemsl.",Accepted,,M,WCSP (in review),751744,798742-1,"Fl. Trop. Afr.","4(2): 370","","1906"
kew-2627920,A,Orobanchaceae,,Alectra,,"bainesii",,"","Hemsl.",Accepted,,M,WCSP (in review),751746,798744-1,"Fl. Trop. Afr.","4(2): 365","","1906"
kew-2627922,A,Orobanchaceae,,Alectra,,"basserei",,"","Berhaut",Accepted,,M,WCSP (in review),751748,798746-1,"Fl. Senegal","428","","1967"
kew-2627923,A,Orobanchaceae,,Alectra,,"basutica",,"","(E.Phillips) Melch.",Accepted,,M,WCSP (in review),751749,798747-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 125","","1940"
kew-2627926,A,Orobanchaceae,,Alectra,,"capensis",,"","Thunb.",Accepted,,M,WCSP (in review),751752,798749-1,"Prodr. Pl. Cap.","97","","1800"
kew-2627931,A,Orobanchaceae,,Alectra,,"dolichocalyx",,"","Philcox",Accepted,,M,WCSP (in review),751757,934124-1,"Bol. Soc. Brot.","II, 60: 269","","1987"
kew-2627932,A,Orobanchaceae,,Alectra,,"dunensis",,"","Hilliard & B.L.Burtt",Accepted,,M,WCSP (in review),751758,798754-1,"Notes Roy. Bot. Gard. Edinburgh","37: 309","","1979"
kew-2627934,A,Orobanchaceae,,Alectra,,"fruticosa",,"","Eb.Fisch.",Accepted,,M,WCSP (in review),751760,990071-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","18: 58","","1996"
kew-2627935,A,Orobanchaceae,,Alectra,,"glandulosa",,"","Philcox",Accepted,,M,WCSP (in review),751761,934123-1,"Bol. Soc. Brot.","II, 60: 269","","1987"
kew-2627936,A,Orobanchaceae,,Alectra,,"gracilis",,"","S.Moore",Accepted,,M,WCSP (in review),751762,798756-1,"J. Bot.","57: 216","","1919"
kew-2627938,A,Orobanchaceae,,Alectra,,"hildebrandtii",,"","Eb.Fisch.",Accepted,,M,WCSP (in review),751764,990068-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","18: 55","","1996"
kew-2627940,A,Orobanchaceae,,Alectra,,"hirsuta",,"","Klotzsch",Accepted,,M,WCSP (in review),751766,798759-1,"Naturw. Reise Mossambique","1: 221","","1861"
kew-2627941,A,Orobanchaceae,,Alectra,,"humbertii",,"","Eb.Fisch.",Accepted,,M,WCSP (in review),751767,990070-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","18: 56","","1996"
kew-2627942,A,Orobanchaceae,,Alectra,,"hundtii",,"","Melch.",Accepted,,M,WCSP (in review),751768,798760-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 436","","1941"
kew-2627943,A,Orobanchaceae,,Alectra,,"ibityensis",,"","Eb.Fisch.",Accepted,,M,WCSP (in review),751769,990069-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","18: 56","","1996"
kew-2627947,A,Orobanchaceae,,Alectra,,"lancifolia",,"","Hemsl.",Accepted,,M,WCSP (in review),751773,798764-1,"Fl. Trop. Afr.","4(2): 367","","1906"
kew-2627948,A,Orobanchaceae,,Alectra,,"ledermannii",,"","Engl.",Accepted,,M,WCSP (in review),751774,798765-1,"Bot. Jahrb. Syst.","57: 612","","1922"
kew-2627949,A,Orobanchaceae,,Alectra,,"linearis",,"","Hepper",Accepted,,M,WCSP (in review),751775,798766-1,"Kew Bull.","14: 402","","1960"
kew-2627950,A,Orobanchaceae,,Alectra,,"lurida",,"","Harv.",Accepted,,M,WCSP (in review),751776,798767-1,"Gen. S. Afr. Pl.","250","","1838"
kew-2627958,A,Orobanchaceae,,Alectra,,"natalensis",,"","(Hiern) Melch.",Accepted,,M,WCSP (in review),751784,798774-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 126","","1940"
kew-2627959,A,Orobanchaceae,,Alectra,,"orobanchoides",,"","Benth.",Accepted,,M,WCSP (in review),751785,798775-1,"Prodr.","10: 340","","1846"
kew-2627961,A,Orobanchaceae,,Alectra,,"parasitica",,"","A.Rich.",Accepted,,L,WCSP (in review),751787,798778-1,"Tent. Fl. Abyss.","2: 117","","1850"
kew-2606187,A,Orobanchaceae,,Alectra,,"parasitica",subsp.,"chitrakutensis","(M.A.Rau) K.K.Khanna & An.Kumar",Accepted,,L,WCSP (in review),730799,77094189-1,"J. Econ. Taxon. Bot.","31: 537","","2007"
kew-2627962,A,Orobanchaceae,,Alectra,,"parvifolia",,"","(Engl.) Schinz",Accepted,,L,WCSP (in review),751788,798779-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 195","","1890"
kew-2627963,A,Orobanchaceae,,Alectra,,"pedicularioides",,"","Baker",Accepted,,M,WCSP (in review),751789,798780-1,"J. Linn. Soc., Bot.","20: 214","","1883"
kew-2627965,A,Orobanchaceae,,Alectra,,"picta",,"","(Hiern) Hemsl.",Accepted,,M,WCSP (in review),751791,798783-1,"Fl. Trop. Afr.","4(2): 368","","1906"
kew-2627966,A,Orobanchaceae,,Alectra,,"pseudobarleriae",,"","(Dinter) Dinter",Accepted,,L,WCSP (in review),751792,798784-1,"Repert. Spec. Nov. Regni Veg.","15: 85","","1917"
kew-2627967,A,Orobanchaceae,,Alectra,,"pubescens",,"","Philcox",Accepted,,M,WCSP (in review),751793,934125-1,"Bol. Soc. Brot.","II, 60: 269","","1987"
kew-2627970,A,Orobanchaceae,,Alectra,,"rigida",,"","(Hiern) Hemsl.",Accepted,,M,WCSP (in review),751796,798788-1,"Fl. Trop. Afr.","4(2): 369","","1906"
kew-2627971,A,Orobanchaceae,,Alectra,,"rigida",subsp.,"paludosa","(A.Chev. ex Hutch. & Dalziel) Hepper",Accepted,,L,WCSP (in review),751797,,"","","",""
kew-2627974,A,Orobanchaceae,,Alectra,,"schliebenii",,"","Melch.",Accepted,,M,WCSP (in review),751800,798791-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 441","","1941"
kew-2627975,A,Orobanchaceae,,Alectra,,"schoenfelderi",,"","Dinter & Melch.",Accepted,,M,WCSP (in review),751801,798792-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 435, 458","","1941"
kew-2627979,A,Orobanchaceae,,Alectra,,"sessiliflora",,"","(Vahl) Kuntze",Accepted,,M,WCSP (in review),751805,798794-1,"Revis. Gen. Pl.","2: 458","","1891"
kew-2627981,A,Orobanchaceae,,Alectra,,"sessiliflora",var.,"monticola","(Engl.) Melch.",Accepted,,L,WCSP (in review),751807,,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 126","","1940"
kew-2627982,A,Orobanchaceae,,Alectra,,"sessiliflora",var.,"senegalensis","(Benth.) Hepper",Accepted,,L,WCSP (in review),751808,,"Kew Bull.","14: 405","","1960"
tro-29203563,A,Orobanchaceae,,Alectra,,"sessiliflora",var.,"sessiliflora","",Accepted,,L,TRO,29203563,,"","","",""
kew-2627983,A,Orobanchaceae,,Alectra,,"stolzii",,"","Engl.",Accepted,,M,WCSP (in review),751809,798795-1,"Bot. Jahrb. Syst.","57: 612","","1922"
kew-2627986,A,Orobanchaceae,,Alectra,,"thyrsoidea",,"","Melch.",Accepted,,M,WCSP (in review),751812,798798-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 431","","1941"
kew-2627987,A,Orobanchaceae,,Alectra,,"trinervis",,"","Hemsl.",Accepted,,M,WCSP (in review),751813,798799-1,"Fl. Trop. Afr.","4(2): 370","","1906"
kew-2627988,A,Orobanchaceae,,Alectra,,"virgata",,"","Hemsl.",Accepted,,M,WCSP (in review),751814,798800-1,"Fl. Trop. Afr.","4(2): 369","","1906"
kew-2627989,A,Orobanchaceae,,Alectra,,"vogelii",,"","Benth.",Accepted,,L,WCSP (in review),751815,798801-1,"Prodr.","10: 339","","1846"
kew-2640145,A,Orobanchaceae,,Anisantherina,,"hispidula",,"","(Mart.) Pennell",Accepted,,M,WCSP (in review),763831,13952-2,"Mem. Torrey Bot. Club","16: 106","","1920"
kew-16638,A,Orobanchaceae,,Asepalum,,"eriantherum",,"","(Vatke) Marais",Accepted,,H,WCSP,16638,908359-1,"Kew Bull.","35: 809","","1981"
kew-2666380,A,Orobanchaceae,,Aureolaria,,"flava",,"","(L.) Farw.",Accepted,,M,WCSP (in review),790007,26967-2,"Rep. (Annual) Michigan Acad. Sci.","20: 188","","1918 publ. 1919"
kew-2666382,A,Orobanchaceae,,Aureolaria,,"flava",var.,"macrantha","Pennell",Accepted,,L,WCSP (in review),790009,26970-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 511","","1922"
kew-2666388,A,Orobanchaceae,,Aureolaria,,"grandiflora",,"","(Benth.) Pennell",Accepted,,M,WCSP (in review),790015,26974-2,"Rhodora","20: 135","","1918"
kew-2666389,A,Orobanchaceae,,Aureolaria,,"grandiflora",var.,"cinerea","Pennell",Accepted,,L,WCSP (in review),790016,26976-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 510","","1922"
kew-2666391,A,Orobanchaceae,,Aureolaria,,"grandiflora",var.,"pulchra","Pennell",Accepted,,L,WCSP (in review),790018,26978-2,"Proc. Acad. Nat. Sci. Philadelphia","80: 392","","1928"
kew-2666393,A,Orobanchaceae,,Aureolaria,,"grandiflora",var.,"serrata","(Torr. ex Benth.) Pennell",Accepted,,L,WCSP (in review),790020,26979-2,"Proc. Acad. Nat. Sci. Philadelphia","73: 511","","1922"
kew-2666396,A,Orobanchaceae,,Aureolaria,,"greggii",,"","(S.Watson) Pennell",Accepted,,M,WCSP (in review),790023,26982-2,"Rhodora","20: 135","","1918"
kew-2666399,A,Orobanchaceae,,Aureolaria,,"laevigata",,"","(Raf.) Raf.",Accepted,,M,WCSP (in review),790026,,"New Fl.","2: 58","","1837"
kew-2666401,A,Orobanchaceae,,Aureolaria,,"patula",,"","(Chapm.) Pennell",Accepted,,M,WCSP (in review),790028,26986-2,"Proc. Acad. Nat. Sci. Philadelphia","71: 271","","1919 publ. 1920"
kew-2666402,A,Orobanchaceae,,Aureolaria,,"pectinata",,"","(Nutt.) Pennell",Accepted,,M,WCSP (in review),790029,26987-2,"Bull. Torrey Bot. Club","40: 411","","1913"
kew-2666410,A,Orobanchaceae,,Aureolaria,,"pedicularia",,"","(L.) Raf. ex Farw.",Accepted,,M,WCSP (in review),790037,,"Rep. (Annual) Michigan Acad. Sci.","20: 189","","1918"
kew-2666411,A,Orobanchaceae,,Aureolaria,,"pedicularia",var.,"ambigens","(Fernald) Farw.",Accepted,,L,WCSP (in review),790038,26995-2,"Rep. (Annual) Michigan Acad. Sci.","20: 189","","1918"
kew-2666412,A,Orobanchaceae,,Aureolaria,,"pedicularia",var.,"austromontana","Pennell",Accepted,,L,WCSP (in review),790039,26997-2,"Proc. Acad. Nat. Sci. Philadelphia","71: 268","","1920"
kew-2666418,A,Orobanchaceae,,Aureolaria,,"pedicularia",var.,"intercedens","Pennell",Accepted,,L,WCSP (in review),790045,27003-2,"Torreya","19: 207","","1919"
kew-2666435,A,Orobanchaceae,,Aureolaria,,"virginica",,"","(L.) Pennell",Accepted,,M,WCSP (in review),790062,27016-2,"Bull. Torrey Bot. Club","40: 409","","1913"
kew-2670485,A,Orobanchaceae,,Bartsia,,"adenophylla",,"","Molau",Accepted,,M,WCSP (in review),793982,273083-2,"Opera Bot.","102: 63","","1990"
kew-2670486,A,Orobanchaceae,,Bartsia,,"alba",,"","Molau",Accepted,,M,WCSP (in review),793983,273084-2,"Opera Bot.","102: 36","","1990"
kew-2670487,A,Orobanchaceae,,Bartsia,,"alpina",,"","L.",Accepted,,M,WCSP (in review),793984,273085-2,"Sp. Pl.","602","","1753"
kew-2670491,A,Orobanchaceae,,Bartsia,,"aprica",,"","Diels",Accepted,,M,WCSP (in review),793988,273086-2,"Bot. Jahrb. Syst.","37: 430","","1906"
kew-2670496,A,Orobanchaceae,,Bartsia,,"australis",,"","Molau",Accepted,,M,WCSP (in review),793993,273087-2,"Opera Bot.","102: 81","","1990"
kew-2670497,A,Orobanchaceae,,Bartsia,,"bartsioides",,"","(Hook.) Edwin",Accepted,,M,WCSP (in review),793994,29707-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","13(5b 3): 492","","1971"
kew-2670504,A,Orobanchaceae,,Bartsia,,"camporum",,"","Diels",Accepted,,M,WCSP (in review),794001,273093-2,"Bot. Jahrb. Syst.","37: 433","","1906"
kew-2670505,A,Orobanchaceae,,Bartsia,,"canescens",,"","Wedd.",Accepted,,M,WCSP (in review),794002,273094-2,"Chlor. Andina","2: 123","","1860"
kew-2670508,A,Orobanchaceae,,Bartsia,,"chilensis",,"","Benth.",Accepted,,M,WCSP (in review),794005,273095-2,"Prodr.","10: 547","","1846"
kew-2670513,A,Orobanchaceae,,Bartsia,,"crenata",,"","Molau",Accepted,,M,WCSP (in review),794010,273096-2,"Opera Bot.","102: 81","","1990"
kew-2670514,A,Orobanchaceae,,Bartsia,,"crenoloba",,"","Wedd.",Accepted,,M,WCSP (in review),794011,799614-1,"Chlor. Andina","2: 124","","1860"
kew-2670515,A,Orobanchaceae,,Bartsia,,"crisafullii",,"","N.H.Holmgren",Accepted,,M,WCSP (in review),794012,273097-2,"in Fl. Ecuador","21(177): 165","","1984"
kew-2670518,A,Orobanchaceae,,Bartsia,,"decurva",,"","Hochst. ex Benth.",Accepted,,M,WCSP (in review),794015,799616-1,"Prodr.","10: 545","","1846"
kew-2670520,A,Orobanchaceae,,Bartsia,,"diffusa",,"","Benth.",Accepted,,M,WCSP (in review),794017,799618-1,"Prodr.","10: 546","","1846"
kew-2670522,A,Orobanchaceae,,Bartsia,,"elachophylla",,"","Diels",Accepted,,M,WCSP (in review),794019,273100-2,"Bot. Jahrb. Syst.","37: 431","","1906"
